first_name,last_name,birth_date,sex
Hercules,Baer,10/12/64,M
Hercules,Biron,10/17/57,F
Hercules,Birge,12/24/64,F
Hercules,Berstel,4/5/54,F
Hercules,Bernatsky,8/27/54,M
Hercules,Bodoff,2/13/59,M
Hercules,Bail,8/14/61,F
Hercules,Benantar,7/20/63,F
Hercules,Basagni,3/1/54,M
Hercules,Bernardinello,9/3/64,F
Hercules,Bisiani,2/27/62,F
Hercules,Baranowski,11/17/54,M
Hercules,Benzmuller,11/27/53,M
Hercules,Biran,8/28/54,F
Hercules,Bahr,10/17/57,M
Hercules,Bain,7/16/52,F
Hercules,Brendel,7/31/64,F
Hercules,Barreiro,7/6/60,M
Hercules,Buchter,8/14/64,M
Hercules,Baak,10/15/60,M
